,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
821,University of Florida (UF),,19000.0,0.84,2020-2021,,,-81.197224,28.605102
822,University of Oregon (UO),IMB,26200.0,1.25,2020-2021,,,-123.072036,44.048269
823,University of Mississippi Medical Center,Cell biology,26000.0,1.28,2020-2021,1st,,-90.174669,32.327884
824,"University of Maryland , College Park (UMD)",Sociology,33147.0,1.1,2020-2021,1st,,-76.94796,38.984325999999996
825,University of Florida (UF),ECE,22205.0,0.98,2020-2021,1st,,-81.197224,28.605102
826,Yale University (YU),Economics,37000.0,1.5,2016-2017,4th,Free healthcare,-88.9972051619975,20.721291176
827,New York University (NYU),Sackler ,40380.0,1.36,2020-2021,3rd,,-73.9621555,40.807559499999996
829,University of Southern California (USC),Urban Planning,30500.0,1.18,2020-2021,1st,"4-year stipend, with TA/RA req'd in 2nd + 3rd year. full dental and health. one time summer stipend, $3000. ",-118.14106,34.146771
830,Cold Spring Harbor Laboratory ,Watson school,36100.0,,2020-2021,1st,"Laptop provided in the first year. 
Gym reimbursement $350/year.
Free health and dental insurance (vision is not free)
$8k/year for lab related expenses such as conference or new equipment.",-73.467032,40.859398
831,Cold Spring Harbor Laboratory ,Watson school of biological sciences,36450.0,,2019-2020,5th,"No tuition fees. No student fees. 
Base salary is $34000. Starting the second year you also get $175/month of housing subsidies. That makes $36100/year. 
They have a fitness reimbursement program, up to $350 a year. That makes $36,450/year. 
Health care is free. You can make appointment with any specialist without primary doctors referral. 
Dental has a free and a paid option ($5/month). Vision is opt-in too, less than $5 a month. 
Housing ranges from $700 if you share with other people to $1200 if you want your own place. Most people pay around $900.
Meals: subsidized lunch buffet at lab for $4.5 per person.",-73.467032,40.859398
832,"University of Michigan , Ann Arbor (UM)",Aerospace Engineering,32000.0,1.39,2019-2020,,Free healthcare ,-83.73849799999999,42.2771875
833,University of Oregon (UO),,26500.0,1.26,2020-2021,1st,,-123.072036,44.048269
834,Mississippi State University (MSU),Chemistry ,19400.0,0.89,2020-2021,1st,,-88.794431,33.455133
835,Portland State University (PSU),Chemistry,24000.0,1.03,2020-2021,1st,,-122.6742,45.5202
836,University of Washington (UW),Toxicology,24816.0,1.07,2020-2021,1st,,-122.3076595,47.654538
837,"University of California , Riverside (UCR)",Education,14000.0,0.58,2018-2019,2nd,,-117.327529,33.970224
838,Iowa State University (ISU),Electrical Engineering,24450.0,1.15,2019-2020,1st,"I am on a 1/2 time assistantship with 100% of tuition paid and free health insurance. Paid 1/month and take home pay is ~1650 (after taxes and paying for dental). $130 of the fees is one time only, the rest is per semester.",-93.632669,42.006866
839,University of Chicago (UC),English,34000.0,1.4,2019-2020,1st,,-77.040457,38.898701
840,"University of North Carolina , Chapel Hill (UNC)",English,15000.0,0.67,2020-2021,6th and up,,-79.049486,35.9083286875
841,University of Southern California (USC),Cinema & Media Studies,34000.0,1.31,2020-2021,1st,,-118.14106,34.146771
842,Rice University,Bioengineering,31500.0,1.44,2019-2020,1st,,-95.4018215,29.717171
843,"University of Illinois , Urbana, Champaign (UIUC)",School of Information Science,23100.0,1.05,2020-2021,2nd,,-88.2269005,40.11054
844,,School of Information Science,23100.0,,2020-2021,2nd,,,
846,"University of Texas Southwestern Medical Center , Dallas",Physiology/Cell and Molecular Biology,35000.0,1.62,2019-2020,5th,Students in the Division of Basic Science are not required to TA. Stipends are covered by the graduate school the first year and then paid for by their PIs.,-96.858624,32.811842
848,"University of Michigan , Ann Arbor (UM)",Neuroscience,32739.0,1.42,2020-2021,1st,,-83.73849799999999,42.2771875
850,Florida Atlantic University (FAU),Business,19000.0,0.8,2020-2021,1st,Yes,-80.101683,26.375454
851,SUNY Downstate Medical Center,,27600.0,0.93,2020-2021,3rd,,-73.9450875,40.6552505
852,"University of Texas , Dallas (UTD)",School of Behavioral and Brain Science,26000.0,1.21,2020-2021,4th,,-96.750326,32.985556
853,Rice University,Business,40000.0,1.83,2020-2021,1st,,-95.4018215,29.717171
854,University of Virginia (UVA),English (Creative Writing),20000.0,0.88,2020-2021,,,-78.5039985,38.035165
855,Case Western Reserve University,Materials Science and Engineering,27600.0,1.38,2020-2021,1st,,-81.609739,41.504526
856,Yale University (YU),Mechanical Engineering and Materials Science,36000.0,1.46,2020-2021,1st,,-88.9972051619975,20.721291176
857,Virginia Tech,Sociology ,20682.0,0.98,2020-2021,1st,,-80.40839349999999,37.207
858,Carnegie Mellon University (CMU),Biomedical Engineering,31000.0,1.5,2020-2021,2nd,,-79.9449435,40.44288975
859,"University of Maryland , College Park (UMD)",Applied Mathematics & Statistics and Scientific Computation,24064.0,0.8,2020-2021,1st,,-76.94796,38.984325999999996
860,"University of California , Irvine (UCI)",Department of Informatics,21273.0,0.73,2019-2020,4th,,-117.841987,33.649718
861,"University of North Carolina , Greensboro (UNCG)",,14000.0,0.65,2019-2020,3rd,,-79.792,36.0726
862,Cornell University (CU),Communications ,31000.0,1.28,2020-2021,1st,,-74.08083,4.59889
864,"Purdue University , West Lafayette",Nuclear Engineering,22800.0,1.08,2019-2020,1st,"I'm an international student, still need to pay portion of tuition&fee roughly $1,000 each semester, and also health insurance around $50 a month for myself, and add another $200 healt insurance charge a month to cover my wife",-86.92597925,40.426348000000004
865,"University of California , San Diego (UCSD)",ECE,30160.0,1.14,2020-2021,,,-122.0575945,36.9901525
866,"University of Wisconsin , Madison (UW)",Risk and Insurance ,20350.0,0.89,2020-2021,1st,,-89.408095,43.073243500000004
867,Iowa State University (ISU),Chemical and Biological Engineering,28759.0,1.35,2019-2020,3rd,$620 fee per semester in Fall and Spring. Summer semester fee is $365. Health insurance provided. Two-third dental insurance. ,-93.632669,42.006866
868,"University of Minnesota , Twin Cities (UM)",Earth and Environmental Sciences,23035.0,1.01,2020-2021,1st,,51.4,25.42
869,"University of Texas , Austin (UT)",melc,15700.0,0.69,2020-2021,1st,,-97.734734,30.269594
870,"Rutgers the State University of New Jersey , New Brunswick",Journalism and media studies,20000.0,0.78,2020-2021,4th,,-74.447763,40.50005625
872,"University of Texas , Dallas (UTD)",International Political Economy,19900.0,0.92,2020-2021,2nd,,-96.750326,32.985556
873,East Carolina University (ECU),Music,9000.0,0.42,2017-2018,2nd,,-77.321777,35.628977
874,University of Utah,Music,15000.0,0.67,2019-2020,1st,,-111.837882,40.769755
875,"University of Minnesota , Twin Cities (UM)","History of Science, Technology and Medicine",17643.0,0.77,2020-2021,1st,,51.4,25.42
876,Cambridge University,Physics,19000.0,,2019-2020,2nd,Basically minimum wage in the UK. Accommodation is $750/month. Livable but can't save any money,0.1204895,52.203255999999996
877,Washington State University (WSU),Sociology,16665.0,0.88,2020-2021,1st,Health Insurance As Well,-119.2688,46.3252
878,New York University (NYU),Cognition and Perception,34000.0,1.14,2020-2021,,,-73.9621555,40.807559499999996
879,University of Southern California (USC),American Studies ,30500.0,1.18,2020-2021,1st,,-118.14106,34.146771
880,Texas Christian University (TCU),Education ,20710.0,0.95,2020-2021,4th,"Other is student health insurance through the university. However, graduate students apply for 80/20 split in which students pay $200/ semester. This amount also covers summer. ",-97.370282,32.702297
881,"University of Illinois , Urbana, Champaign (UIUC)",history,20000.0,0.91,2020-2021,1st,additional $2000 for first year,-88.2269005,40.11054
882,"University of California , Berkeley",Electrical Engineering and Computer Science (EECS),27500.0,0.99,2020-2021,1st,Covered by fellowships and GSR appointment. Health and dental insurance are also paid. Non-resident fee covered for first year.,-122.2591495,37.870498999999995
883,North Carolina State University (NCSU),Electrical and Computer Engineering (ECE),30000.0,1.31,2020-2021,1st,NC State University Provost's Doctoral Fellowship. All other years covered by either RA or TAships.,-78.6727755,35.7861945
884,University of Virginia (UVA),Graduate School of Arts and Sciences,27000.0,1.18,2020-2021,1st,,-78.5039985,38.035165
886,"University of Texas , Dallas (UTD)",Bioengineering,25000.0,1.16,2020-2021,5th,Health Insurance not included,-96.750326,32.985556
888,"University of Texas , Dallas (UTD)",Biomedical engineering,20500.0,0.95,2020-2021,,,-96.750326,32.985556
889,Emory University,political science,30623.0,1.31,2020-2021,1st,,-84.38642250000001,33.76855425
890,Syracuse University,Music M.M. Conducting,15453.0,0.72,2019-2020,2nd,"Tuition waivers cover cost of tuition, but does not cover university fees.",-76.13476,43.038514
891,University of Rochester (UR),Pharmacology and Physiology,29000.0,1.36,2019-2020,3rd,Taxes bring this number down to around 25.5k,7.497353,46.308815
892,Cornell University (CU),"Physiology, Biophysics, Systems Biology",41000.0,1.69,2020-2021,,,-74.08083,4.59889
894,"University of Illinois , Urbana, Champaign (UIUC)",Chemistry,25000.0,1.14,2016-2017,6th and up,,-88.2269005,40.11054
895,"University of Colorado , Boulder (UCB)",Aerospace Engineering,38200.0,1.5,2019-2020,1st,"No healthcare for dependents.
All depends make roughly the same, within $500 per year of each other, assuming you work summers.",-105.2617842,40.0069447
896,University of Missouri (MU),Philosophy,17700.0,0.86,2019-2020,1st,,-117.319692,34.173184
897,"University at Albany , SUNY",Political Science,17100.0,0.75,2019-2020,4th,Our union negotiated higher stipends last year; they used to be $16000.,-73.749616,42.648305
898,Pennsylvania State University (Penn State),Sociology,32500.0,1.45,2020-2021,1st,,-77.86414400000001,40.801520749999995
900,Pennsylvania State University (Penn State),Communications,24000.0,1.07,2020-2021,2nd,,-77.86414400000001,40.801520749999995
901,University of South Carolina (USC),Chemistry and Biochemistry,22000.0,0.98,2020-2021,3rd,,-80.375953,33.933773
902,Ohio University (OU),Environmental and Plant Biology ,18116.0,0.86,2020-2021,4th,,-81.51,41.07
903,Ohio University (OU),Graduate College,9950.0,0.47,2018-2019,6th and up,,-81.51,41.07
904,"University of Illinois , Urbana, Champaign (UIUC)",Mechanical Engineering,26290.0,1.2,2020-2021,2nd,,-88.2269005,40.11054
905,"University of Texas Medical Branch , Galveston",Human Pathophysiology and Translational Medicine,31000.0,1.42,2020-2021,4th,,-94.8085355,29.2844005
906,Duke University (DU),Environment,41800.0,1.88,2020-2021,4th,"The Graduate School covers my health insurance and all the tuition and fees. The regular stipend for this year is $31,800 ($2,650 per month for 12 months) but I get a $5,000 supplement for teaching a class and other $5,000 as childcare subsidy (the Graduate School provide this additional stipend for grad students with kids).",-78.9371308,36.0060219
907,"University of Texas , Austin (UT)",Astronomy,28000.0,1.23,2020-2021,4th,pre-tax,-97.734734,30.269594
908,Cold Spring Harbor Laboratory,Watson School of Biological Sciences,34000.0,,2018-2019,2nd,,-73.467032,40.859398
909,New York University (NYU),Computer Science,36000.0,1.21,2020-2021,,No fees or tuition. Healthcare included,-73.9621555,40.807559499999996
910,Columbia University (CU),Biological Sciences,39750.0,1.34,2019-2020,1st,,-74.08083,4.59889
911,"University of Michigan , Ann Arbor (UM)",School of Nursing,20820.0,0.9,2018-2019,3rd,Tuition and health insurance covered,-83.73849799999999,42.2771875
912,"University of Michigan , Ann Arbor (UM)",School of Nursing,20320.0,0.88,2017-2018,2nd,Tuition and health insurance covered,-83.73849799999999,42.2771875
913,"University of Michigan , Ann Arbor (UM)",School of Nursing,19840.0,0.86,2016-2017,1st,Tuition and health insurance covered,-83.73849799999999,42.2771875
914,University of Washington (UW),Industrial Engineering,19500.0,0.84,2019-2020,1st,,-122.3076595,47.654538
915,"Purdue University , West Lafayette",Clinical Psychology,16211.0,0.77,2020-2021,,,-86.92597925,40.426348000000004
916,"University of California , San Diego (UCSD)",EDS,7600.0,0.29,2020-2021,3rd,"The required fee is not considered in the 9-month pay.

I receive 2400 each month, and the tuition is paid directly to the University by the research project that hired me as a research assistant ",-122.0575945,36.9901525
917,Virginia Commonwealth University (VCU),School of Medicine,30000.0,1.21,2019-2020,2nd,,-77.452015,37.548297
918,Pennsylvania State University (Penn State),Geography ,30000.0,1.34,2020-2021,1st,,-77.86414400000001,40.801520749999995
919,Boston University (BU),English,29500.0,1.03,2020-2021,6th and up,"24,500 for term, and 5,000 for summer, guaranteed for 5 years, no service in first or fifth years.  Almost always possible for a 6th, and many get a 7th funded year. ",-71.104588,42.350218
920,"University of Illinois , Urbana, Champaign (UIUC)",Accounting,32500.0,1.48,2020-2021,1st,,-88.2269005,40.11054
921,University of British Columbia,Obstetrics and Gynaecology,16000.0,,2018-2019,6th and up,,-123.250612,49.264573
922,"Purdue University , West Lafayette","Computer Science, PhD",19300.0,0.91,2018-2019,5th,,-86.92597925,40.426348000000004
923,University of Kentucky (UK),Sociology,14750.0,0.72,2017-2018,6th and up,,-84.50858,38.025426
924,"Rutgers the State University of New Jersey , New Brunswick",School of Communication and Information,25969.0,1.01,2019-2020,,This is for a TA position.,-74.447763,40.50005625
925,"University of Leeds, UK",Psychology,35000.0,,2020-2021,1st,,-1.552503,53.807217
926,University of Washington (UW),Education ,30500.0,1.31,2019-2020,2nd,Ive picked up grading hours as well each quarter to supplement the intense costs in this city!,-122.3076595,47.654538
927,"University of North Carolina , Chapel Hill (UNC)",English and Comparative Literature,16000.0,0.72,2019-2020,1st,Funding package is for serving as instructor of record; pay is same rate as those in assistantships.,-79.049486,35.9083286875
928,"University of California , San Francisco (UCSF)",Tetrad ,41200.0,1.38,2020-2021,1st,,-122.458398,37.763313
929,Pennsylvania State University (Penn State),IST,29064.0,1.29,2020-2021,1st,,-77.86414400000001,40.801520749999995
930,Johns Hopkins University (JHU),English,31000.0,1.21,2018-2019,5th,,-76.6203555,39.328937499999995
931,"University of California , San Diego (UCSD)",Political Science,23000.0,0.87,2018-2019,3rd,,-122.0575945,36.9901525
932,Drexel University (DU),Business Analytics ,23000.0,0.95,2019-2020,1st,,-77.039427,38.900666
933,Rice University,Math,25300.0,1.16,2019-2020,3rd,,-95.4018215,29.717171
934,Pennsylvania State University (Penn State),Sociology,32500.0,1.45,2019-2020,1st,,-77.86414400000001,40.801520749999995
935,"University of Maryland , College Park (UMD)",Spanish Literature,22400.0,0.74,2018-2019,2nd,The fees depend on the classes you take. Also there is an international student fee.,-76.94796,38.984325999999996
936,Princeton University,Computer Science,28933.0,1.14,2019-2020,2nd,,-74.65832225,40.3451335
937,"University of California , Irvine (UCI)",Informatics,21519.0,0.74,2019-2020,2nd,,-117.841987,33.649718
939,University of Chicago (UC),Public health sciences,28000.0,1.15,2015-2016,5th,,-77.040457,38.898701
940,Carnegie Mellon University (CMU),Statistics,28400.0,1.37,2018-2019,3rd,,-79.9449435,40.44288975
941,"University of Illinois , Urbana, Champaign (UIUC)",Human Development and Family Studies,32000.0,1.45,2018-2019,4th,Fellowship,-88.2269005,40.11054
942,"University of Illinois , Urbana, Champaign (UIUC)",Human Development and Family Studies,17449.0,0.79,2019-2020,5th,,-88.2269005,40.11054
943,Brown University,NIH GPP,40950.0,1.8,2019-2020,,"Stipend depends on previous experience, excluding volunteer and scholarship work. Unable to get additional funding through fellowships and grants. ",-71.403962,41.8261575
944,"University of California , Los Angeles (UCLA)",Chemistry and Biochemistry,33000.0,1.28,2019-2020,1st,,-118.444563,34.071048
945,"University of California , Irvine (UCI)",Informatics ,21000.0,0.72,2018-2019,2nd,,-117.841987,33.649718
946,University of Rochester (UR),Finance,33000.0,1.54,2019-2020,1st,,7.497353,46.308815
947,Cornell Tech,Computer Science,40000.0,,2019-2020,3rd,,-73.957107,40.755223
948,Boston College (BC),Sociology,23000.0,0.82,2019-2020,1st,,-71.16855,42.337411
950,American University (AU),Communication ,22000.0,0.71,2019-2020,,"Health insurance, subway pass,  subsidized parking, travel stipend",-77.080507,38.945425
952,"University of California , Irvine (UCI)",Informatics ,20700.0,0.71,2019-2020,3rd,,-117.841987,33.649718
953,King Abdullah University of Science and Technology,Red Sea Research Center ,30000.0,,2019-2020,2nd,Tax-free stipend. Also get free housing and annual travel allowance to return to home country. ,39.1049985,22.3095145
954,Duke University (DU),Music,23500.0,1.06,2019-2020,5th,,-78.9371308,36.0060219
955,Sciences Po,Economics,21560.0,,2018-2019,3rd,We have to pay 440 of tuition annually. ,2.3288220546875,48.855029570312496
956,Northwestern University (NU),Music Composition,33504.0,1.38,2019-2020,,,-87.681944,42.050146
957,University of Barcelona,,15850.0,,2015-2016,5th,,2.1637255,41.38626
958,University of Bar,,15850.0,,2015-2016,5th,,16.86839875,41.120678
959,"University of California , Berkeley",Neuroscience,38000.0,1.37,2019-2020,1st,,-122.2591495,37.870498999999995
960,"University of California , San Diego (UCSD)",Communication,42000.0,1.59,2019-2020,1st,,-122.0575945,36.9901525
961,"University of Minnesota , Twin Cities (UM)","Biochemistry, Molecular Biology, and Biophysics",31000.0,1.35,2019-2020,3rd,"*stipend is going up in June 2020 from 29,000 to 31,000",51.4,25.42
962,"University of Texas , Austin (UT)",Middle eastern studies,45000.0,1.97,2019-2020,1st,,-97.734734,30.269594
963,"University of Colorado , Denver (UCD)",Toxicology,31000.0,1.38,2019-2020,1st,"First year requires a teaching assistantship, PI pays for stipend and fees after first year. Graduate school sets stipend and does cost of living adjustments. ",-104.901369,39.760437
964,"University of Minnesota , Twin Cities (UM)",Environmental Health Sciences ,23500.0,1.03,2018-2019,2nd,,51.4,25.42
965,,Chemistry,28000.0,,2019-2020,2nd,,,
966,"University of North Carolina , Chapel Hill (UNC)",Chemistry,28000.0,1.26,2019-2020,2nd,,-79.049486,35.9083286875
967,Dartmouth College,MA: Digital Musics,19950.0,0.81,2019-2020,1st,Paid monthly over a 12 month period. ,-72.28884249999999,43.703540000000004
968,St. John's University (SJU),Psychology,16000.0,,2019-2020,3rd,,-3.210192,39.393854
969,University of Washington (UW),Information School,24850.0,1.07,2018-2019,3rd,,-122.3076595,47.654538
970,Michigan State University (MSU),Music,8040.0,0.39,2018-2019,2nd,,-84.481719,42.731303
971,Duke University (DU),Music,34000.0,1.53,2018-2019,1st,,-78.9371308,36.0060219
972,"University of North Carolina , Greensboro (UNCG)",Human development and family studies,16500.0,0.77,2018-2019,4th,,-79.792,36.0726
973,"Texas A&M University , College Station",Neuroscience and Experimental Therapeutics,30000.0,,2019-2020,2nd,,-96.34213299999999,30.614044
974,Tufts University (TU),Economics,26500.0,0.95,2019-2020,2nd,,-71.115059,42.40899
975,Boston University (BU),Psychology,33000.0,1.15,2018-2019,3rd,"Healthcare would be 2k, but Im on my parents right now. ",-71.104588,42.350218
976,Yale University (YU),Ecology and evolutionary biology ,34000.0,1.38,2018-2019,5th,,-88.9972051619975,20.721291176
977,"University of Wisconsin , Madison (UW)",Education,12400.0,0.54,2019-2020,6th and up,,-89.408095,43.073243500000004
978,George Washington University (GW),Human Paleobiology,25550.0,0.83,2018-2019,4th,Plus 1800 to offset health insurance with Aetna,-77.046676,38.900132
981,Washington State University (WSU),School of Biological Sciences,18713.0,0.99,2018-2019,3rd,,-119.2688,46.3252
982,"University of Maryland , College Park (UMD)",Bioengineering,31121.0,1.03,2019-2020,1st,,-76.94796,38.984325999999996
983,Case Western Reserve University,Pathology,29925.0,1.5,2019-2020,2nd,This is for MD-PhD/MSTP,-81.609739,41.504526
984,University of Central Florida (UCF),Accounting,25000.0,1.08,2019-2020,1st,,-81.197224,28.605102
986,University of British Columbia,Neuroscience,16396.0,,2018-2019,1st,,-123.250612,49.264573
988,"University of Colorado , Boulder (UCB)",Mathematics,20781.0,0.81,2019-2020,1st,,-105.2617842,40.0069447
989,Bristol,Physics,14256.0,,2015-2016,4th,,-2.58333,51.45
990,"University of Michigan , Ann Arbor (UM)",School of Information,31800.0,1.38,2019-2020,1st,,-83.73849799999999,42.2771875
991,"University of California , San Diego (UCSD)",Bioinformatics,33000.0,1.25,2019-2020,6th and up,,-122.0575945,36.9901525
992,Brandeis University,Molecular & Cell Biology,34000.0,1.22,2019-2020,1st,,-71.259119,42.366078
993,"University of California , San Diego (UCSD)",Nano,28500.0,1.08,2019-2020,2nd,,-122.0575945,36.9901525
994,University of Arizona (U of A),"College of Education- Teaching, Learning, and Sociocultural Studies",7657.0,0.37,2019-2020,4th,"In addition to pay, I receive health insurance (with vision but not dental) and a partial tuition waiver. I'm .25FTE. .5FTE receives full tuition waivers. Pay is the same whether you're instructor of record or a traditional TA, and you're classified as ""TA"" either way. Having been an instructor of record for three years before being a TA, I realize how taken advantage of I am. ",-110.944859,32.224454
995,"University of Wisconsin , Madison (UW)",Mass Communications,20500.0,0.9,2019-2020,1st,"- Years 1 - 4 = 50% TA appointment (this includes tuition remission, stipend for $20,500
for the academic year paid monthly, and health insurance)
- You may request up to $1,000 annually for research and up to $1,000 per year travel reimbursement to present at conferences.

MIT's Living Wage calc places Madison at  $25,873. Uni health insurance and transportation deflate that number some, but the offer is a bit rough even for a single, healthy, car-less person.",-89.408095,43.073243500000004
996,University of Washington (UW),Astronomy,32600.0,1.4,2019-2020,1st,,-122.3076595,47.654538
998,University College Dublin,Physics,16620.0,,2019-2020,3rd,,-6.2201315,53.306833
999,Northwestern University (NU),Driskill Graduate Program,32000.0,1.32,2017-2018,5th,Benefits provided.,-87.681944,42.050146
1000,Stanford University (SU),GSB,42000.0,1.46,2018-2019,3rd,,-115.114218,36.002823
1001,,Driskill Graduate Program,32000.0,,2017-2018,5th,Benefits provided.,,
1002,Northwestern University (NU),Driskill Graduate Program,32000.0,1.32,2017-2018,5th,,-87.681944,42.050146
1003,Western Michigan University (WMU),Psychology ,13000.0,0.64,2018-2019,1st,Tuition is paid up to 9 credits ,-85.669964,42.959638
1004,"University of Michigan , Ann Arbor (UM)",Neuroscience Graduate Program,32739.0,1.42,2019-2020,1st,,-83.73849799999999,42.2771875
1005,"University of California , Santa Barbara (UCSB)",Biomolecular Science and Engineering,28500.0,1.09,2017-2018,6th and up,,-119.84887,34.413272
1006,University of Delaware (UD),Chemistry,25000.0,0.98,2017-2018,4th,,-75.74845024999999,39.679881249999994
1007,Northwestern University (NU),Engineering Sciences And Applied Mathematics,28180.0,1.16,2019-2020,1st,,-87.681944,42.050146
1008,"Purdue University , West Lafayette",Psychological Sciences,17500.0,0.83,2019-2020,4th,Summer funding not guaranteed but virtually always available via teaching/grants/fellowships,-86.92597925,40.426348000000004
1009,"University of California , Berkeley",Psychology/PhD,35000.0,1.26,2019-2020,1st,,-122.2591495,37.870498999999995
1010,"University of California , Santa Barbara (UCSB)",Physics,34000.0,1.29,2018-2019,6th and up,,-119.84887,34.413272
1011,"University of Tennessee , Knoxville",Nuclear Engineering ,38000.0,1.79,2019-2020,1st,"Includes tuition waiver and health insurance, but not dental or vision",-83.930266,35.9530525
1013,"Rutgers the State University of New Jersey , New Brunswick",Higher Education PhD,19800.0,0.77,2018-2019,2nd,"This is a fellowship. I am able to work part-time for hourly pay in addition to this fellowship stipend. Still, if I didn't have a partner who was further in his career who could supplement my income, there's no way I could work as few hours for my PT job and still afford to live. The cost of living in NJ is insane and my pay is not enough for that.",-74.447763,40.50005625
1014,National Institutes of Health (NIH),Gpp ,40959.0,1.35,2019-2020,5th,,-77.099131,39.004425
1016,Ohio State University (OSU),Chemistry,18600.0,1.1,2002-2003,2nd,,-83.029862,40.020121
1017,Trinity College Dublin,French,10774.0,,2019-2020,4th,"My stipend is tax exempt (16,000). I also receive 5750 towards the fees and a research fund of 2250 (but I am forbidden from using the leftover to cover the remaining tuition fees).",-6.257573875,53.34432087500001
1018,University of North Texas (UNT),Music,11500.0,0.53,2016-2017,,,-97.148998,33.2107285
1020,"Stony Brook University , SUNY",Music,20000.0,0.72,2018-2019,3rd,,-73.124151,40.914502
1021,Stanford University (SU),Graduate School of Business,44000.0,1.53,2018-2019,4th,,-115.114218,36.002823
1022,Brown University,economics,31000.0,1.36,2018-2019,3rd,,-71.403962,41.8261575
1023,"Texas A&M University , College Station",Economics,20400.0,,2019-2020,4th,,-96.34213299999999,30.614044
1024,Montana State University (MSU),History,17210.0,0.82,2019-2020,2nd,"Tuition waiver, but no health insurance of any variety, no leave policy",-111.0497855,45.668667
1025,"Sorbonne , Paris VI",Neuroscience,34306.0,,2015-2016,4th,"Paris, France",2.34410075,48.847316750000005
1026,"University of Colorado , Boulder (UCB)",Communication,29000.0,1.14,2019-2020,2nd,,-105.2617842,40.0069447
1027,Yale University (YU),Interdepartmental Neuroscience Program,36550.0,1.48,2019-2020,1st,,-88.9972051619975,20.721291176
1028,Bowling Green State University (BGSU),College of Musical Arts,12500.0,0.67,2016-2017,4th,,-83.63736800000001,41.378682
1029,Vanderbilt University,Computer Science,28200.0,1.23,2016-2017,1st,,-86.80421050000001,36.146879999999996
1030,Columbia University (CU),Graduate School of Arts and Sciences,38000.0,1.28,2019-2020,5th,,-74.08083,4.59889
1032,Columbia University (CU),Environment health ,18500.0,0.7,2006-2007,1st,,-74.08083,4.59889
1034,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,11000.0,0.43,2017-2018,4th,,-76.6203555,39.328937499999995
1035,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,11000.0,0.43,2016-2017,3rd,,-76.6203555,39.328937499999995
1036,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,22900.0,0.89,2016-2017,2nd,,-76.6203555,39.328937499999995
1037,Johns Hopkins University (JHU),Bloomberg School of Public Health/PhD in Health Policy and Management ,23900.0,0.93,2015-2016,1st,,-76.6203555,39.328937499999995
1038,Yale University (YU),Experimental Pathology,36550.0,1.48,2018-2019,4th,,-88.9972051619975,20.721291176
1039,University of Southern California (USC),English,32000.0,1.24,2018-2019,4th,,-118.14106,34.146771
1040,University of Oregon (UO),Anthropology ,12817.0,0.61,2018-2019,1st,Health care is included but you have to pay for summer coverage. ,-123.072036,44.048269
1041,Boston University (BU),Management,30100.0,1.14,2013-2014,2nd,,-71.104588,42.350218
1042,Boston University (BU),Management,34000.0,1.29,2012-2013,1st,,-71.104588,42.350218
1043,"University of Arkansas , Little Rock (UALR)",Criminal Justice,15621.0,0.75,2018-2019,3rd,"I am an international student therefore I have to pay student fees and health insurance every semester. This school year the dean decided to Change the pay structure. Essentially we are on two 4 month stipends. Our employment with the university is terminated in December and appointment back again in January, which means we dont get a pay for 6 weeks over Christmas.  The net amount includes a tuition waiver",-92.343652,34.775825
1044,"University of California , Irvine (UCI)",Education,25998.0,0.89,2018-2019,3rd,This is for work in a research assistantship ,-117.841987,33.649718
1045,University of Kansas (KU),Geography,24000.0,1.17,2018-2019,2nd,,47.5906041080513,29.3412115743027
1046,"Louisiana State University , Baton Rouge",Geography,11450.0,0.53,2019-2020,1st,,-91.178322,30.414605
1047,"University of Michigan , Ann Arbor (UM)",Robotics,30500.0,1.32,2019-2020,2nd,,-83.73849799999999,42.2771875
1048,Mount Sinai School of Medicine,PhD program,39000.0,1.31,2019-2020,5th,"Basic health insurance included, vision/dental is additional $",-73.952448,40.790284
1049,"University of Minnesota , Twin Cities (UM)",Graduate Program in Neuroscience,30000.0,1.31,2018-2019,5th,"Health insurance fees amount to ~$300/year. Tuition and fees are paid for for me, but it depends on your grant support.",51.4,25.42
1050,Wayne State University,Computer Science,18712.0,0.9,2019-2020,1st,,-83.0696575,42.3568145
1052,University of Chicago (UC),Computational Neuroscience,32000.0,1.32,2019-2020,4th,,-77.040457,38.898701
1053,University of Iowa (UI),Education Policy and Leadership ,9500.0,0.43,2019-2020,1st,,-91.580951,41.674908
1054,University of Massachusetts Dartmouth,Biology,17900.0,,2018-2019,2nd,,-71.006271,41.628854000000004
1055,University of British Columbia ,Forest and conservation sciences ,21000.0,,2019-2020,1st,,-123.250612,49.264573
1056,Massachusetts Institute of Technology (MIT),Brain and Cognitive Sciences,40051.0,1.43,2018-2019,3rd,,-71.0935805,42.358984
1057,Duke University (DU),Religion,34350.0,1.55,2019-2020,3rd,This stipend represents a base stipend (~$24k/yr) plus an additional four-year fellowship from the grad school (~$5k/yr). The $5500 is an additional summer fellowship through our department. My total stipend is about $34k. We also have health insurance that we do not pay out of pocket for.,-78.9371308,36.0060219
1058,University of Southern California (USC),Preventive Medicine,32847.0,1.27,2018-2019,,,-118.14106,34.146771
