,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
3898,,,20000.0,,2018-2019,,,,
3899,"University of California , Los Angeles (UCLA)",Chemistry,32000.0,1.24,2019-2020,,,-118.444563,34.071048
3901,Wake Forest University (WFU),Biology ,29544.0,1.36,2018-2019,1st,,-80.277438,36.135829
3902,"University of California , Berkeley",History ,36000.0,1.3,2018-2019,1st,,-122.2591495,37.870498999999995
3903,"University of Tennessee , Knoxville",Engineering,30000.0,1.41,2018-2019,,,-83.930266,35.9530525
3905,New York University (NYU),Musicology,28145.0,0.95,2018-2019,1st,Includes health insurance,-73.9621555,40.807559499999996
3906,University of Delaware (UD),Chemical Engineering,30804.0,1.21,2019-2020,1st,,-75.74845024999999,39.679881249999994
3907,Emory University,,31000.0,1.33,2019-2020,1st,,-84.38642250000001,33.76855425
3908,"University of Maryland , College Park (UMD)",,18000.0,0.6,2019-2020,,,-76.94796,38.984325999999996
3909,Chapman University,Computational and Data Sciences,23100.0,,2018-2019,2nd,,-117.851985,33.792925499999996
3910,"University of California , San Diego (UCSD)",Cognitive Science and Neuroscience,31000.0,1.17,2018-2019,3rd,,-122.0575945,36.9901525
3911,New York University (NYU),Comparative Literature,32125.0,1.08,2018-2019,1st,,-73.9621555,40.807559499999996
3912,,Comparative Literature,32125.0,,2018-2019,1st,,,
3913,"University of California , Irvine (UCI)",Philosophy,22800.0,0.78,2018-2019,1st,"Includes health insurance, tuition waiver, and access to heavily subsidized graduate housing far below market rates.",-117.841987,33.649718
3914,Villanova University,Philosophy,25800.0,,2018-2019,2nd,1k is for health insurance subsidy,-75.339864,40.036934
3915,"University of California , Berkeley",Philosophy,29000.0,1.04,2017-2018,1st,"This is what the first year fellowship pays. Subsequent years are similar (around $30,500), but the pay involves  teaching as a GSI during the fall, spring, and summer (if you choose to not teach in the summer, the pay for fall and spring is around $26k).",-122.2591495,37.870498999999995
3916,University of Pennsylvania,Chemistry,30000.0,1.24,2018-2019,4th,No student fees,-75.191259,39.9492625
3917,University of Oklahoma (OU),Engineering,26400.0,1.31,2019-2020,1st,,-97.446329,35.210669
3918,Ohio State University (OSU),Engineering ,24600.0,1.23,2019-2020,1st,,-83.029862,40.020121
3919,Temple University (TU),Chemistry,31400.0,1.3,2018-2019,1st,Presidential Fellowship (no TA or RA the first year). Regular TA recipients earn $26500 with the same fees. ,-75.156314,39.97922
3920,Mount Sinai School of Medicine,Biomedical Sciences,37000.0,1.24,2018-2019,5th,,-73.952448,40.790284
3921,University of vermont,,26500.0,,2018-2019,,,-73.1972305,44.477892999999995
3922,University of Pittsburgh,Biostatistics,24300.0,1.17,2018-2019,1st,,-79.9543695,40.443979
3923,"University of Texas Health Science Center , Houston",Graduate School of Biomedical Sciences,32000.0,1.46,2018-2019,1st,,-95.403086,29.703271
3924,"University of Minnesota , Twin Cities (UM)",Chemical Engineering,31500.0,1.37,2019-2020,1st,,51.4,25.42
3925,"University of Michigan , Ann Arbor (UM)",Chemical Engineering,32200.0,1.4,2019-2020,1st,,-83.73849799999999,42.2771875
3926,"University of Wisconsin , Madison (UW)",Chemical Engineering,30490.0,1.34,2019-2020,1st,,-89.408095,43.073243500000004
3927,"University of Colorado , Boulder (UCB)",Chemical Engineering,30756.0,1.21,2019-2020,1st,,-105.2617842,40.0069447
3928,Rice University,Civil and Environmental Engineering,25600.0,1.17,2018-2019,1st,,-95.4018215,29.717171
3929,"Stony Brook University , SUNY",School of Marine and Atmospheric Sciences,28956.0,1.04,2018-2019,3rd,,-73.124151,40.914502
3930,"Binghamton University , SUNY",Geography,13000.0,0.63,2018-2019,2nd,,-75.969123,42.0906475
3931,University of Virginia (UVA),Politics ,24000.0,1.05,2017-2018,,,-78.5039985,38.035165
3932,"University of Michigan , Ann Arbor (UM)",Education ,16000.0,0.69,2018-2019,,,-83.73849799999999,42.2771875
3933,Florida State University (FSU),Economics,25700.0,1.1,2018-2019,2nd,,-84.298289,30.444751
3934,Eastman School of Music (University of Rochester),Music Composition,13560.0,,2018-2019,1st,,-77.601606875,43.157602125
3935,California Institute of Technology (Caltech),Applied Physics,34000.0,1.31,2018-2019,1st,,-118.12562600000001,34.138344000000004
3936,Stanford University (SU),Physics,37830.0,1.32,2017-2018,2nd,Half health insurance subsidy,-115.114218,36.002823
3937,Massachusetts Institute of Technology (MIT),Physics,38844.0,1.39,2018-2019,3rd,$3263/month stipend + health insurance. Every student in department receives Sci. & Eng. TA (contact) rate annually regardless of funding source (RA/TA/Fellow).,-71.0935805,42.358984
3938,North Carolina State University (NCSU),Nuclear Engineering,28000.0,1.23,2018-2019,2nd,,-78.6727755,35.7861945
3939,Albany Medical College,,28000.0,1.23,2018-2019,1st,,-73.777159,42.653322
3940,University of British Columbia,iSchool,14000.0,,2018-2019,,,-123.250612,49.264573
3942,Washington University in St. Louis (Wash U),Philosophy,25360.0,1.23,2018-2019,1st,"We are on a 10 month salary, but (as I understand) the school of Arts & Sciences is moving towards a 12 month salary, which would include increasing the stipend amount for students. Currently, it is typical for students for apply for and receive summer funding of about $2000. ",-90.311359,38.648015
3943,CUNY Graduate School and University Center,Chemistry,30000.0,1.01,2018-2019,1st,,-73.9838295,40.748540000000006
3944,University of Utah,Biosciences,28000.0,1.26,2018-2019,6th and up,,-111.837882,40.769755
3945,Iowa State University (ISU),Industrial Engineering,21500.0,1.01,2018-2019,,,-93.632669,42.006866
3946,Syracuse University,iSchool,22000.0,1.03,2018-2019,2nd,,-76.13476,43.038514
3947,"University of North Carolina , Chapel Hill (UNC)",History,13000.0,0.58,2018-2019,,,-79.049486,35.9083286875
3948,Southern Methodist University (SMU),Biostatistics,28000.0,1.3,2018-2019,1st,,-96.7847485,32.8429835
3949,University of Virginia (UVA),Music,24000.0,1.05,2018-2019,1st,,-78.5039985,38.035165
3950,New Jersey Institute of Technology,Management ,22000.0,0.81,2018-2019,1st,,-74.178891,40.742124
3951,Ohio State University (OSU),industrial engineering,9648.0,0.48,2019-2020,1st,RA stipend,-83.029862,40.020121
3952,DePaul University (DPU),Psychology,19500.0,0.8,2018-2019,2nd,,-87.657696,41.923916
3953,NANYANG TECHNOLOGICAL UNIVERSITY,PhD EEE,29562.0,,2018-2019,3rd,,103.681792,1.347227
3954,New York University (NYU),Sociology,26700.0,0.9,2018-2019,4th,,-73.9621555,40.807559499999996
3955,University of Melbourne,Department of Psychiatry,30900.0,,2018-2019,1st,AUD,144.9628925,-37.798269000000005
3956,Pennsylvania State University (Penn State),Chemistry,28221.0,1.26,2019-2020,1st,,-77.86414400000001,40.801520749999995
3958,"University of Illinois , Chicago (UIC)",Sociology,18072.0,0.74,2018-2019,1st,,-87.650264,41.873436
3959,Howard University (HU),Chemical Engineering,22100.0,0.72,2018-2019,2nd,,-6.95,37.25
3960,"University of Texas , Dallas (UTD)",Neuroscience,24000.0,1.11,2018-2019,1st,,-96.750326,32.985556
3961,University of Virginia (UVA),chemical engineering ,27000.0,1.18,2018-2019,4th,,-78.5039985,38.035165
3962,Princeton University,Computer Science,26100.0,1.03,2018-2019,1st,,-74.65832225,40.3451335
3963,Arizona State University (ASU),School of Politics and Global Studies,17650.0,0.8,2018-2019,3rd,,-111.93225100000001,33.4210665
3964,University of Georgia (UGA),Food Science and Technology,14934.0,0.71,2018-2019,2nd,Required student health insurance is another deduction of $600/semester. This stipend is technically for a MS Program but I hear that the PhD stipend is only $2000-3000 more. ,43.881434770301,42.3842114527972
3965,"University of Texas , Austin (UT)",Materials Science and Engineering,33000.0,1.45,2018-2019,4th,,-97.734734,30.269594
3966,"Louisiana State University , Baton Rouge",french,19000.0,0.88,2017-2018,1st,,-91.178322,30.414605
3967,"University of Hawaii , Manoa (UH)",Economics/PhD,18030.0,0.59,2018-2019,1st,,-81.3465,40.3931
3968,University of Missouri (MU),Molecular Microbiology and Immunology,23200.0,1.13,2018-2019,1st,,-117.319692,34.173184
3969,University of Iowa (UI),Neuroscience,28000.0,1.26,2018-2019,,,-91.580951,41.674908
3970,University of Rochester (UR),math,18000.0,0.84,2018-2019,3rd,,7.497353,46.308815
3971,University of Rochester (UR),Mathematics,17450.0,0.82,2018-2019,5th,Some teaching positions in the summer available,7.497353,46.308815
3972,University of Rochester (UR),Mathematics,19980.0,0.93,2018-2019,5th,"Also around $250 for parking. Opportunities for summer teaching for 3rd years and up. I'm paid with a fellowship, I believe the standard stipend is $18,000",7.497353,46.308815
3973,University of Rochester (UR),Mathematics,23500.0,1.1,2018-2019,4th,Health insurance mandatory but not included. ,7.497353,46.308815
3974,University of Rochester (UR),Mathematics,18000.0,0.84,2018-2019,1st,Mandatory health fee is paid by the university. Health insurance is not paid by the university.  Some students may get a summer teaching job which pays about $2800 in total. ,7.497353,46.308815
3975,University of Georgia (UGA),Higher Education,22800.0,1.08,2018-2019,4th,,43.881434770301,42.3842114527972
3977,New Mexico State University (NMSU),Biology,13400.0,0.64,2017-2018,2nd,,-106.744746,32.278546
3978,"Louisiana State University School of Medicine , Shreveport",Microbiology and Immunology,26000.0,1.2,2018-2019,,,-93.7652,32.5222
3979,New York University (NYU),Biology,39000.0,1.31,2018-2019,2nd,,-73.9621555,40.807559499999996
3980,"University of Maryland , College Park (UMD)",Chemical and Biomolecular Engineering,30535.0,1.01,2018-2019,1st,,-76.94796,38.984325999999996
3981,Pennsylvania State University (Penn State),,28000.0,1.25,2018-2019,1st,,-77.86414400000001,40.801520749999995
3982,"University of California , San Francisco (UCSF)",Neuroscience,38000.0,1.27,2018-2019,1st,Healthcare + gym membership included,-122.458398,37.763313
3983,Johns Hopkins University (JHU),Comparative Thought and Literature/Humanities Center,29000.0,1.13,2018-2019,2nd,(basic) health insurance included,-76.6203555,39.328937499999995
3984,Florida State University (FSU),Economics,19872.0,0.85,2018-2019,4th,,-84.298289,30.444751
3985,University of Connecticut (UConn),,32000.0,1.32,2018-2019,4th,,-72.2481995,41.807010500000004
3986,Johns Hopkins University (JHU),CMDB,31300.0,1.22,2018-2019,1st,,-76.6203555,39.328937499999995
3987,National Institutes of Health (NIH),NIH-OxCam Program,33835.0,1.12,2018-2019,4th,,-77.099131,39.004425
